t;x;y;q
0;-13.4;-33.2;-0.9
2;-13.2;-32.8;-1.8
4;-13.4;-33;-1.6
6;-13.2;-32.9;-1.4
8;-13.3;-32.7;-2
10;-13.2;-32.3;-1.3
12;-13.2;-32.6;-1.7
14;-13.3;-32.7;-1.8
16;-13.3;-33;-1.2
18;-13.4;-33.3;-1.8
20;-13.1;-32.7;-1.6
22;-13.1;-32.8;-1.3
24;-13.1;-32.8;-1.8
26;-13.3;-32.9;-1.6
28;-13.4;-32.6;-1.4
30;-13.5;-33;-1.8
32;-13.4;-32.8;-1.6
34;-13.4;-32.4;-1.2
36;-13.3;-32.8;-2.1
38;-13.1;-32.5;-1.3
40;-13.1;-32.4;-1.2
42;-13;-32.6;-1.8
44;-13.2;-32.7;-1.7
46;-13.1;-32.8;-1.3
48;-13.3;-33.1;-2.2
50;-13.4;-33.2;-1.6
52;-13.5;-33.2;-1.7
54;-13.4;-32.9;-2.1
56;-13.3;-32.8;-1.4
58;-13.1;-33;-1.6
60;-13.2;-32.5;-1.8
62;-13.4;-32.8;-1.4
64;-13.1;-32.7;-1.9
66;-13.3;-32.6;-1.4
68;-13.3;-33.2;-1.4
70;-13.2;-32.9;-2
72;-13.4;-32.6;-2
74;-13;-32.6;-1.1
76;-13.2;-32.8;-1.8
78;-13.2;-32.7;-1.9
80;-13.2;-32.8;-1.4
82;-13.2;-32.5;-1.8
84;-13.2;-32.5;-1.7
86;-13.1;-32.4;-1.4
88;-13.5;-33.1;-1.5
90;-13.2;-32.5;-1.6
92;-13.2;-32.6;-2.1
94;-13.6;-32.6;-1.7
96;-13.5;-33.1;-1.4
98;-13.4;-32.8;-2.1
100;-13.3;-32.9;-1.7
102;-13.3;-33.2;-1.7
104;-13;-32.3;-1.8
106;-13.3;-32.8;-1.5
108;-13.5;-33;-2.1
110;-13.2;-32.7;-1.6
112;-13.1;-32.8;-1.6
114;-13.1;-32.8;-2
116;-13.2;-33;-1.1
118;-13.4;-33;-1.6
120;-13.1;-32.7;-2.1
122;-13.4;-32.9;-1.5
124;-13.5;-33;-2.2
126;-13.2;-32.6;-1.9
128;-13.1;-32.5;-1
130;-12.9;-32.8;-2.1
132;-13.4;-33;-2
134;-13.3;-32.6;-1.7
136;-13.2;-32.8;-1.6
138;-13.2;-32.9;-1.8
140;-13.3;-32.4;-1.6
142;-13.3;-33.1;-1.7
144;-13;-32.5;-1.4
146;-13.4;-32.5;-1.3
148;-13.5;-33.1;-2.2
150;-13.4;-33.1;-1.6
152;-13.3;-32.9;-1
154;-13.4;-33.2;-2.4
156;-13.1;-32.7;-1.2
158;-13.6;-33.4;-1.6
160;-13.4;-32.9;-2
162;-13.4;-33.2;-1.2
164;-13.1;-32.3;-1.7
166;-13.4;-32.6;-2.3
168;-13.1;-32.7;-1.4
170;-13.3;-32.9;-1.6
172;-13.1;-32.7;-1.8
174;-13.3;-33;-1.4
176;-13.4;-32.9;-1.5
178;-13.1;-33;-1.9
180;-13.2;-32.7;-1.3
182;-13.4;-32.8;-1.6
184;-13.2;-32.6;-2.1
186;-13.4;-32.6;-1.4
188;-13.4;-32.9;-2
190;-13.3;-33;-1.9
192;-13.2;-32.6;-1
194;-13.2;-32.8;-1.8
196;-13.1;-32.9;-1.6
198;-13.4;-32.9;-1.5
200;-13.4;-33.3;-1.8
202;-13.1;-32.4;-1.3
204;-13.4;-33.2;-2.2
206;-13.2;-32.6;-1.8
208;-13.4;-33.2;-1.2
210;-13.2;-32.7;-2.2
212;-13.3;-33;-1.4
214;-13.1;-32.6;-1.4
216;-13.4;-33.1;-2.1
218;-13.1;-33.3;-0.8
220;-13.5;-33.3;-2.1
222;-13.2;-32.9;-1.7
224;-13.2;-32.6;-1.2
226;-13.3;-32.8;-2.3
228;-13.4;-32.8;-1.3
230;-13.3;-32.4;-1.4
232;-13.2;-32.4;-1.9
234;-13.2;-32.3;-1.3
236;-13.3;-33;-1.5
238;-13.4;-33.1;-1.8
240;-13.2;-32.8;-1.6
242;-13;-32.7;-1.5
244;-13.3;-32.8;-1.5
246;-13.3;-32.7;-1.6
248;-13.1;-32.6;-1.5
250;-13.4;-33.1;-1.5
252;-13.1;-32.4;-2
254;-13.2;-32.8;-1.3
256;-13.1;-32.5;-1.5
258;-13.1;-32.7;-2
260;-13.1;-32.8;-1.2
262;-13.2;-32.7;-2
264;-13.3;-33.1;-1.7
266;-13.4;-32.8;-1.6
268;-13.2;-33.2;-2.1
270;-13;-32.5;-1.6
272;-13.6;-33.1;-1.5
274;-13.2;-32.2;-2
276;-13.4;-33.2;-1.5
278;-13.1;-32.7;-1.3
280;-13.2;-33;-1.5
282;-13.2;-32.8;-1.6
284;-13.4;-33.6;-1.4
286;-13.2;-32.7;-1.6
288;-13.4;-33.1;-2.2
290;-13.1;-32.9;-1.3
292;-13.3;-32.2;-1.5
294;-13.4;-33;-2.2
296;-13.4;-32.8;-1.6
298;-13.5;-33.3;-1.7
300;-13.4;-33.4;-1.7
302;-13.1;-32.6;-1.4
304;-13;-32.4;-1.7
306;-13.2;-32.3;-2
308;-13.3;-32.3;-1.7
310;-13.2;-32.7;-1.6
312;-13;-32.7;-1.6
314;-13.2;-33.1;-1.6
316;-13.2;-33.3;-2.1
318;-13;-32.5;-1.6
320;-13.5;-32.8;-1.3
322;-13;-32.2;-1.6
324;-13.2;-32.5;-1.6
326;-13.3;-33;-1
328;-13.5;-33.3;-2
330;-13;-33;-2.1
332;-13.2;-32.8;-1
334;-13.1;-32.4;-2.1
336;-13.3;-32.5;-1.8
338;-13.4;-32.9;-1.2
340;-13.1;-32.6;-2
342;-13.3;-32.5;-1.5
344;-13.3;-32.8;-1.6
346;-13.3;-33.5;-2.1
348;-13.1;-32.6;-1.5
350;-13.4;-32.9;-1.8
352;-13.2;-32.3;-1.6
354;-13.1;-32.3;-1.5
356;-13.2;-32.8;-1.7
358;-13.4;-33.1;-1.4
360;-13.4;-33.1;-1.5
362;-13.3;-32.6;-1.9
364;-13.1;-32.6;-1.8
366;-13.4;-32.9;-1.3
368;-13;-32.6;-2.1
370;-13;-32.5;-1.7
372;-13.4;-33;-1.6
374;-13.2;-32.7;-1.6
376;-13.1;-32.5;-1.5
378;-13.3;-33.1;-2.2
380;-13.2;-32.7;-1.5
382;-13.1;-32.5;-1.5
384;-13.3;-32.6;-1.7
386;-13.3;-32.7;-1.6
388;-13.5;-33.1;-1.9
390;-13.3;-32.7;-1.4
392;-13.1;-32.5;-1.7
394;-13.5;-33.5;-1.6
396;-13.3;-32.9;-1.5
398;-13.4;-33;-2.1
400;-13.4;-32.9;-1.6
402;-13.4;-32.9;-1.1
404;-13.5;-32.9;-2.5
406;-13.1;-32.7;-1.6
408;-13.5;-32.5;-1.5
410;-13.4;-32.9;-2
412;-13.4;-32.8;-1.2
414;-13.3;-32.6;-2.1
416;-13.4;-32.7;-1.6
418;-13.4;-32.9;-1.4
420;-13.2;-32.3;-1.8
422;-13.1;-32.8;-1.6
424;-13.1;-32.5;-1.5
426;-13.2;-32.7;-1.6
428;-13.1;-32.5;-1.9
430;-13.3;-32.6;-2
432;-13.4;-32.5;-1.8
434;-13.2;-32.6;-1.4
436;-13.2;-32.4;-1.8
438;-13.5;-33.1;-1.5
440;-13.2;-32.5;-1.6
442;-13.4;-33.3;-1.9
444;-13.2;-32.7;-1.8
446;-13.4;-33.2;-1.9
448;-13.4;-33.2;-1.5
450;-13.3;-32.8;-1.3
452;-13.2;-32.4;-2
454;-13.5;-32.9;-1.6
456;-13.1;-32.6;-1.6
458;-13.2;-32.8;-2.1
460;-13.5;-33.2;-1.6
462;-13;-32.3;-1.3
464;-13.6;-33.2;-1.6
466;-13.3;-32.8;-1.9
468;-13.2;-32.6;-1.7
470;-13.2;-32.6;-1.7
472;-13.3;-33.2;-1.6
474;-13.2;-33;-1.6
476;-13.6;-33.4;-1.5
478;-13.1;-32.3;-1.4
480;-13.3;-32.9;-1.7
482;-13.6;-33;-1.8
484;-13.4;-33;-1.7
486;-13.2;-32.4;-1.7
488;-13.3;-33;-2
490;-13.2;-32.6;-1.5
492;-13.6;-33;-1.3
494;-13;-32.8;-1.6
496;-13.2;-32.9;-1.8
498;-13.4;-33.1;-1.6
500;-13.4;-32.7;-1.7
502;-13.3;-32.6;-1.5
504;-13.3;-32.6;-1.6
506;-13.3;-32.5;-1.6
508;-13.3;-33;-1.4
510;-13.4;-33.1;-2.2
512;-13.2;-32.6;-1.6
514;-13.4;-33.2;-1.4
516;-13.2;-32.8;-2.1
518;-13.2;-32.7;-1.7
520;-13.2;-32.8;-1.3
522;-13.4;-32.4;-2.4
524;-13.3;-32.4;-0.9
526;-13.3;-32.7;-1.8
528;-13.6;-33.3;-2
530;-13.2;-33.6;-0.8
532;-13.2;-32.7;-2.2
534;-13.1;-32.4;-1.7
536;-13.2;-32.1;-1.1
538;-13.3;-32.3;-2.4
540;-13.2;-32.7;-1.3
542;-13.1;-33.1;-1.6
544;-13.1;-33;-2.2
546;-13.2;-32.7;-1.3
548;-13.3;-32.8;-1.8
550;-13.3;-32.6;-2
552;-13.2;-32.6;-1.4
554;-13.1;-32.5;-1.7
556;-13.2;-33.1;-1.8
558;-13.4;-33.5;-1.7
560;-13.2;-32.7;-1.5
562;-13.2;-32;-1.4
564;-13;-32;-1.5
566;-13.4;-32.9;-1.5
568;-13;-32.9;-1.3
570;-13.3;-32.9;-1.7
572;-13.2;-32.9;-1.8
574;-13.2;-32.1;-1.5
576;-13.3;-32.2;-1.9
578;-12.9;-31.9;-1.6
580;-13.2;-32.8;-1.2
582;-13.2;-33.3;-2
584;-13.1;-33;-2
586;-13;-32.5;-1.5
588;-13.5;-32.6;-1.8
590;-13.2;-32.2;-1.7
592;-13.4;-33;-1
594;-13.5;-33.6;-2.3
596;-13.3;-33;-1.6
598;-13.3;-32.9;-1.5
600;-13.3;-32.9;-2.2
602;-13.4;-32.2;-1.3
604;-13.4;-32.9;-2.1
606;-13.1;-32.7;-1.7
608;-13.1;-32.9;-1.4
610;-13.1;-32.8;-2.3
612;-13;-32;-1.4
614;-13.1;-31.7;-1.9
616;-13.3;-32.4;-2.3
618;-13.3;-33.4;-0.9
620;-13.4;-33.9;-2.1
622;-13.2;-33.1;-2.1
624;-13.5;-33.2;-1.2
626;-13.4;-32.4;-2
628;-13.2;-32;-2
630;-13.2;-32.7;-1.5
632;-13.4;-33.8;-1.6
634;-13.2;-33.1;-1.9
636;-13.2;-32.7;-1.7
638;-13.1;-32;-1.5
640;-13.3;-32;-1.9
642;-13.5;-33.1;-1.3
644;-13.1;-33;-1.4
646;-13.4;-33.6;-1.9
648;-13.5;-33.3;-1.3
650;-13.1;-32;-1.5
652;-13.2;-32.3;-1.8
654;-13.3;-32.6;-1.5
656;-13.3;-33.2;-1.6
658;-13.5;-33.8;-2.4
660;-13.4;-33.3;-1.4
662;-13.1;-32.2;-1.6
664;-13.4;-32.5;-2.1
666;-13.1;-32.3;-1.2
668;-13.4;-33.2;-1.7
670;-13;-33.3;-2
672;-13.2;-32.4;-1.4
674;-13.1;-32.2;-1.5
676;-13.2;-32.2;-1.6
678;-13.3;-32.7;-1.5
680;-13.1;-33.2;-1.7
682;-12.9;-33.1;-2.1
684;-13.2;-32.7;-1.6
686;-13.3;-32.6;-1.7
688;-13.3;-32.3;-2
690;-13;-32.2;-1.5
692;-13.4;-33;-1.9
694;-12.8;-32.9;-1.8
696;-13.2;-32.4;-1.7
698;-13.2;-31.9;-2
700;-13.2;-32.1;-1.4
702;-13.4;-33;-1.3
704;-13;-32.8;-1.9
706;-13.4;-33.2;-1.2
708;-13.1;-32.9;-1.6
710;-13;-32.3;-2.2
712;-13.4;-32.6;-1.2
714;-13.3;-32.8;-2.2
716;-13.3;-32.8;-1.7
718;-13.4;-33;-0.9
720;-13.2;-33;-2.1
722;-13.2;-32.7;-1.6
724;-13.2;-32.3;-1.5
726;-13.2;-32.2;-2.4
728;-13.2;-32.5;-1.3
730;-13.2;-32.8;-1.9
732;-13.2;-33;-1.8
734;-13.4;-33;-1.1
736;-13.3;-32.5;-2.4
738;-13.3;-32.3;-1.1
740;-13.4;-32.8;-1.6
742;-13.2;-32.6;-2.1
744;-13.2;-33.1;-0.9
746;-13.4;-33.3;-1.6
748;-13.5;-32.9;-1.7
750;-13.5;-32.7;-1.1
752;-13;-32.2;-2.2
754;-13.1;-32.7;-2.3
756;-13.1;-33;-1.3
758;-13.2;-32.9;-2
760;-13.3;-32.3;-1.8
762;-12.9;-32;-1
764;-13;-32.1;-2.1
766;-13;-32.8;-1.6
768;-13.4;-33.7;-1.3
770;-13.3;-33.8;-2
772;-13.3;-33;-1.9
774;-13.4;-32.3;-1.5
776;-13.4;-32.3;-2
778;-13.3;-32.9;-1.8
780;-13.4;-33.9;-1.5
782;-13.1;-33.1;-2.1
784;-13.2;-32.6;-1.6
786;-13.3;-32.1;-1.5
788;-13.1;-32;-2.1
790;-13.2;-32.7;-1.6
792;-13.1;-32.7;-1.6
794;-12.9;-33;-1.9
796;-13.1;-32.1;-1.6
798;-13.2;-31.8;-1.6
800;-13.3;-32.4;-2
802;-13.2;-33;-1.5
804;-13.5;-33.6;-1.5
806;-13.3;-32.9;-2
808;-13.4;-33.2;-1.5
810;-13.5;-33;-1.8
812;-13.2;-32.1;-1.8
814;-13.3;-32.3;-1.1
816;-13.2;-32.9;-1.8
818;-13.4;-33.1;-1.5
820;-13.2;-32.8;-1.3
822;-13.4;-32.8;-1.8
824;-13.1;-32;-1.1
826;-13.3;-32.5;-1.6
828;-13.4;-33.2;-2.3
830;-13.3;-33.2;-1.3
832;-13.1;-32.9;-2.2
834;-13.2;-32.7;-2.4
836;-13.3;-32.6;-0.8
838;-13.5;-32.9;-2
840;-13.2;-32.6;-1.6
842;-13.3;-33.3;-1.6
844;-13.4;-33.5;-2.4
846;-13.5;-32.8;-1.1
848;-13;-31.9;-2.1
850;-13.1;-32.2;-1.7
852;-13.4;-33.1;-1
854;-13.4;-33.7;-2.4
856;-13.4;-33.3;-1.4
858;-13.1;-32.8;-1.5
860;-13.5;-32.3;-2.2
862;-13.6;-32.4;-1
864;-13.6;-33.2;-1.9
866;-13.1;-33;-2.5
868;-13.3;-33.1;-0.7
870;-13.1;-32.5;-2.7
872;-13.2;-32.7;-1.7
874;-13.4;-32.1;-1
876;-13;-32.4;-2.7
878;-13.5;-33.6;-1.3
880;-13.3;-33.2;-2
882;-13.4;-33.4;-2.2
884;-13.5;-32.6;-1.3
886;-13.3;-32.2;-1.9
888;-12.9;-32.6;-1.5
890;-13.2;-33.2;-1.3
892;-13.2;-33.1;-2.2
894;-13;-33.5;-1.5
896;-13.4;-32.8;-1.2
898;-12.9;-32.2;-1.7
900;-13.4;-32.8;-1.5
902;-13.1;-32.7;-1.8
904;-12.9;-33.3;-1.7
906;-13.3;-32.7;-1.7
908;-13.3;-32.7;-1.7
910;-13.1;-32.1;-1.4
912;-13.5;-32.6;-1.7
914;-13.2;-32.9;-1.9
916;-13.3;-33.5;-1.4
918;-13.3;-33.6;-1.8
920;-13;-32.3;-2.1
922;-13.5;-32.3;-1.9
924;-13.2;-32.4;-1.6
926;-13.4;-33.8;-1.5
928;-12.9;-33.3;-2
930;-13.1;-32.8;-1.2
932;-13.4;-32.5;-1.2
934;-13;-32;-2.3
936;-13.1;-32.3;-1.2
938;-13.3;-33.5;-1.5
940;-13.2;-33.2;-1.8
942;-13.1;-32.9;-1.6
944;-13.3;-32.2;-1.5
946;-13.3;-32;-1.8
948;-13.4;-32.5;-1.7
950;-13.3;-33.3;-1.9
952;-13.4;-33.7;-1.7
954;-13.2;-33.4;-1.5
956;-13.2;-32.2;-2.1
958;-13.4;-32.7;-1.8
960;-13;-32.1;-1.2
962;-13.4;-33.3;-2.2
964;-13.2;-32.8;-1.5
966;-13.1;-32.6;-1.2
968;-13.2;-32.3;-2.2
970;-13.1;-32.1;-1.1
972;-13.4;-32.8;-1.7
974;-13.4;-33.1;-2.2
976;-13.3;-33.5;-1.1
978;-13.4;-33.4;-2.2
980;-13.4;-32.6;-1.6
982;-13.2;-32.2;-1.2
984;-13.2;-32.7;-2.1
986;-13.4;-33.4;-1.4
988;-13.4;-33.9;-1.5
990;-13.2;-32.8;-2.2
992;-13.3;-32.4;-1.5
994;-13.3;-32.4;-1.2
996;-13;-32.4;-1.8
998;-13.4;-33.6;-1.3
1000;-13.4;-33.8;-2
1002;-13.3;-33.3;-1.9
1004;-13.3;-32.1;-1.2
1006;-13.2;-32;-1.7
1008;-13.4;-33;-1.6
1010;-13.3;-32.8;-2
1012;-13.2;-33.6;-1.7
1014;-13.3;-32.9;-1.5
1016;-13.3;-32.6;-1.7
1018;-13.1;-31.8;-1.8
1020;-13.3;-32.5;-1.4
1022;-13.5;-33.4;-2.4
1024;-13.2;-33;-1.7
1026;-13.5;-33.3;-1.6
1028;-13.2;-32.4;-2.2
1030;-13.2;-32.2;-1.1
1032;-13.3;-32.3;-2.1
1034;-13.2;-33.2;-1.9
1036;-13.4;-33.3;-1.1
1038;-13.2;-33.7;-2.1
1040;-13.2;-32.8;-1.5
1042;-13.4;-32.7;-1.7
1044;-13.3;-32.3;-2.1
1046;-13.2;-32.6;-1.5
1048;-13.2;-33.4;-1.4
1050;-13.2;-33;-2
1052;-13.4;-32.9;-1.3
1054;-13.3;-32;-1.5
1056;-13.5;-32.2;-2.1
1058;-13.4;-33.2;-1.2
1060;-13.4;-33.5;-2.1
1062;-13.4;-33.7;-2.2
1064;-13.1;-32.3;-0.9
1066;-13.3;-32.2;-2.1
1068;-13.2;-32.4;-1.6
1070;-13;-32.5;-1.5
1072;-13;-33.1;-2
1074;-13.5;-33.5;-1.5
1076;-13.1;-32.4;-1.7
1078;-13.4;-32.4;-2
1080;-13.3;-32.2;-1.2
1082;-13;-32.3;-2.2
1084;-13.4;-33.1;-1.9
1086;-13.2;-33;-0.9
1088;-13.4;-33.2;-2.2
1090;-13.2;-32.5;-2
1092;-13.1;-32.1;-1.2
1094;-13.1;-32.5;-2.6
1096;-13.2;-32.9;-1.5
1098;-13.5;-33.6;-1
1100;-13.4;-32.8;-2.5
1102;-13.1;-31.9;-1.3
1104;-13.4;-32.2;-1.7
1106;-13.3;-33;-2.2
1108;-13.6;-33.8;-0.9
1110;-13.3;-33.2;-1.9
1112;-13.3;-33.2;-1.8
1114;-13.4;-32;-1.2
1116;-13.3;-32.1;-2.2
1118;-13.4;-32.8;-1.6
1120;-13.4;-33.7;-1.4
1122;-13.5;-33.8;-1.9
1124;-13.3;-32.9;-1.4
1126;-13.2;-32.6;-1.4
1128;-13.3;-32.7;-2.3
1130;-13.2;-32.6;-1.6
1132;-13.1;-32.9;-1.6
1134;-13;-33.4;-2.1
1136;-13.2;-32.9;-1.1
1138;-13.3;-32.3;-2.2
1140;-13.3;-32.4;-1.5
1142;-13.3;-32.3;-1.3
1144;-13.3;-33;-2.4
1146;-13.1;-33.1;-1.7
1148;-13.3;-33.2;-1.3
1150;-13.3;-32.4;-2.1
1152;-13.3;-32.7;-1.3
1154;-13.4;-33.1;-1.4
1156;-13.4;-33.2;-2.2
1158;-13.2;-33.1;-1.3
1160;-13.5;-33.4;-2.2
1162;-13.3;-32.1;-2
1164;-13.4;-31.7;-0.9
1166;-13.2;-31.6;-1.6
1168;-13.3;-32.3;-1.7
1170;-13.4;-32.3;-1.4
1172;-13.3;-31.1;-1.7
1174;-13.1;-29.6;-1.8
1176;-12.7;-28.2;-1.4
