t;x;y;q
0;-13.7;-34.5;-1.1
2;-14;-35;-1.6
4;-13.7;-34.9;-2.1
6;-13.8;-35;-1.4
8;-13.8;-35.3;-2
10;-13.7;-34.3;-1.5
12;-13.6;-34.8;-1.3
14;-13.6;-34.8;-1.8
16;-13.9;-35.5;-1.2
18;-13.4;-35.1;-1.1
20;-13.5;-34.7;-1.7
22;-13.5;-34;-1.4
24;-13.4;-34.2;-1.3
26;-13.8;-35.4;-1.6
28;-13.8;-35.1;-1.1
30;-13.8;-35.5;-1.6
32;-13.5;-34.3;-1.6
34;-13.5;-34;-1.7
36;-13.6;-34.7;-1.8
38;-13.4;-35.1;-1.6
40;-13.8;-35.8;-1.4
42;-13.7;-34.6;-1.5
44;-13.9;-34.7;-1.5
46;-13.9;-34.8;-1.8
48;-13.5;-34.8;-1.3
50;-13.5;-35;-1.5
52;-13.6;-35;-2.1
54;-13.7;-34.6;-1.8
56;-13.6;-33.8;-1.1
58;-13.7;-34.3;-1.4
60;-13.6;-34.9;-2.1
62;-13.6;-35;-1.1
64;-13.5;-34.7;-1.2
66;-13.5;-34;-1.5
68;-13.9;-34.9;-0.7
70;-14;-35.4;-1.6
72;-13.7;-35.6;-1.6
74;-13.7;-35.1;-1.2
76;-13.5;-34.4;-1.6
78;-13.7;-34.3;-1.4
80;-13.7;-34.4;-1.1
82;-13.6;-35.5;-1.3
84;-13.6;-35.4;-1.5
86;-13.7;-34.9;-1.7
88;-13.7;-34.2;-1.8
90;-14;-34.8;-1.3
92;-13.9;-35.5;-1.4
94;-13.7;-35.8;-1.5
96;-13.5;-34.5;-1.4
98;-13.6;-34.3;-1.6
100;-13.8;-34.5;-1.6
102;-13.9;-35.3;-1.3
104;-13.6;-35.6;-1.1
106;-13.8;-35.5;-1.8
108;-13.5;-34.3;-1.3
110;-13.5;-33.8;-1.6
112;-13.7;-34.7;-1.6
114;-13.6;-35.3;-1.5
116;-13.9;-35.5;-1.3
118;-13.7;-34.6;-1.5
120;-13.5;-33.8;-1.4
122;-13.8;-33.9;-1.5
124;-13.7;-34.8;-1
126;-13.7;-35.4;-1.4
128;-13.5;-35;-1.5
130;-13.6;-34.4;-1.5
132;-13.5;-34;-1.4
134;-13.9;-35;-1.8
136;-13.8;-35.6;-1.4
138;-13.6;-35.2;-1.2
140;-13.5;-34.8;-1.4
142;-13.4;-33.9;-1.6
144;-13.8;-34.8;-1.5
146;-13.7;-35.3;-1.3
148;-13.7;-35.4;-1.3
150;-13.8;-35.6;-1.5
152;-13.9;-34.4;-1.6
154;-13.5;-33.9;-1.2
156;-13.7;-34.8;-1.7
158;-13.7;-35.4;-1.3
160;-13.7;-35.4;-1.2
